"catalog_version","number","id","name","kind","map_label","role","depth","persistence","evidence_class","source_ids","families","summary","inferential_boundary","primary_or_register_source"
"atlas-08","1","indo-pacific-warm-pool","Indo-Pacific Warm Pool","reservoir","Heat continent","persistent reservoir","surface / upper ocean","persistent; seasonally breathing","conceptual","O18","heatmass | oceanbelts","The largest persistent expanse of very warm surface water: a continent-like reservoir whose edge moves with threshold, season, and dataset.","A warm surface footprint is not a full-depth heat-content integral, and its diagnostic boundary is not a material wall.","https://www.climate.gov/news-features/featured-images/warm-pool-indo-pacific-ocean-has-almost-doubled-size-changing-global"
"atlas-08","2","western-hemisphere-warm-pool","Western Hemisphere Warm Pool","reservoir","Seasonal heat continent","seasonal reservoir","surface / upper ocean","seasonal expansion","conceptual","O19","heatmass","A seasonally connected warm-water province spanning parts of the tropical eastern Pacific, Gulf of Mexico, Caribbean, and western tropical Atlantic.","Central America divides the ocean basins even when a temperature threshold visually joins the warm regions.","https://www.aoml.noaa.gov/phod/research/tav/awp/"
"atlas-08","3","northeast-pacific-blob","Northeast Pacific Blob","transient","Heat blob","marine heatwave anomaly","surface with subsurface remnant","episodic / multi-year","observational","O20–O21","heatmass","A named marine heatwave demonstrates why a heat blob is an event relative to a baseline—not a permanent ocean province.","Its surface expression does not determine its full-depth energy or prove a single cause.","https://doi.org/10.1002/2016GL071039"
"atlas-08","4","el-nino-tongue","El Niño Tongue","transient","Heat tongue","basin-scale anomaly","surface / thermocline coupled","interannual","conceptual","","heatmass | oceanbelts","An eastward-reaching equatorial anomaly: a tongue because its geometry and evolution matter as much as its peak temperature.","The atlas shape is schematic and is not an event declaration or an ENSO index.","../SOURCE-REGISTER.md"
"atlas-08","5","gulf-stream","Gulf Stream","pathway","Heat river","western boundary current","surface intensified; deep structure","persistent and variable","conceptual","O2","oceanrealms | oceanbelts","A narrow, fast pathway that exports warm water poleward and sheds moving rings into the surrounding ocean.","Current speed and water temperature do not, by themselves, give heat transport across a section.","https://www.whoi.edu/ocean-learning-hub/ocean-topics/how-the-ocean-works/ocean-circulation/currents-gyres-eddies/"
"atlas-08","6","kuroshio","Kuroshio","pathway","Heat river","western boundary current","surface intensified; deep structure","persistent and variable","conceptual","O2","oceanrealms | oceanbelts","The North Pacific counterpart in the map grammar: a swift boundary current, extension, and ring-forming system.","The analogy to the Gulf Stream is structural, not an assertion of identical forcing, geometry, or transport.","https://www.whoi.edu/ocean-learning-hub/ocean-topics/how-the-ocean-works/ocean-circulation/currents-gyres-eddies/"
"atlas-08","7","agulhas","Agulhas System","pathway","River and moving islands","boundary current / leakage","upper ocean to intermediate","persistent with episodic rings","conceptual","","oceanrealms","A current system whose retroflection and rings make exchange look less like a pipe and more like parcels escaping a moving border.","The marker does not quantify leakage or attribute downstream climate effects.","../SOURCE-REGISTER.md"
"atlas-08","8","antarctic-circumpolar-current","Antarctic Circumpolar Current","pathway","Circumpolar belt","fronted zonal current","deep-reaching fronts","persistent and meandering","observational","O4, O8–O9","oceanrealms | oceanbelts","Earth's clearest ocean belt: a deep-reaching, eastward current whose fronts inhibit exchange while eddies and regional pathways leak heat across them.","The ACC is not a solid cold wall and Drake Passage is not a thermal plug.","https://doi.org/10.1175/JPO-D-19-0266.1"
"atlas-08","9","circumpolar-deep-water","Circumpolar Deep Water","buried","Buried heat continent","subsurface reservoir / source water","intermediate to deep; region dependent","persistent with changing access","synthesis","O10, O14","heatmass | oceanrealms","Relatively warm subsurface water can approach Antarctic margins beneath a cold surface, making vertical structure central to ice-shelf exposure.","Offshore presence does not equal delivery to a cavity; fronts, shelf breaks, troughs, mixing, and winds intervene.","https://doi.org/10.1029/2018RG000624"
"atlas-08","10","atlantic-water-arctic","Atlantic Water in the Arctic","buried","Buried heat continent","subsurface inflow and reservoir","below the cold, fresh halocline","persistent and variable","observational synthesis","O22","heatmass | oceanrealms","Warm Atlantic-origin water can sit beneath a colder, fresher lid: the Arctic example of why the surface can conceal a large thermal contrast.","Subsurface temperature does not determine when, where, or how much heat reaches sea ice or the atmosphere.","https://doi.org/10.3389/fmars.2019.00416"
"atlas-08","11","drake-passage","Drake Passage","gate","Heat gate","circumpolar transport section","full water column","persistent geometry; variable flow","observational / modeled","O4–O7","oceanrealms | oceanbelts","The narrowest major gate on the circumpolar route. It makes ACC transport measurable and exposes how geometry reorganizes global circulation.","Closing the gate in a model changes many coupled circulations; it is not equivalent to simply sending warm water south.","https://doi.org/10.1175/JCLI-D-15-0554.1"
"atlas-08","12","indonesian-throughflow","Indonesian Throughflow","gate","Archipelagic heat gate","inter-basin exchange","multiple constrained passages","persistent and variable","conceptual","","oceanrealms","A branching tropical gate where land geometry constrains exchange between the Pacific and Indian oceans.","A point marker hides multiple straits, vertical structure, tides, mixing, and seasonal reversals.","../SOURCE-REGISTER.md"
